data1_time,data1_peak_to_peak,data2_time,data2_peak_to_peak,data3_time,data3_peak_to_peak
0.0,0.05600000000000001,0.0,0.15100000000000002,0.0,0.08699999999999997
1.0,0.06799999999999999,1.0,0.252,1.0,0.12399999999999997
2.0,0.077,2.0,0.25,2.0,0.13399999999999998
3.0,0.077,3.0,0.253,3.0,0.09499999999999997
4.0,0.076,4.0,0.242,4.0,0.13599999999999998
5.0,0.06599999999999999,5.0,0.253,5.0,0.13200000000000003
6.0,0.06999999999999999,6.0,0.24,6.0,0.09699999999999998
7.0,0.08099999999999999,7.0,0.277,7.0,0.156
8.0,0.16,8.0,0.45300000000000007,8.0,0.20099999999999998
9.0,0.147,9.0,0.34099999999999997,9.0,0.24999999999999997
10.0,0.121,10.0,0.4700000000000001,10.0,0.24799999999999997
11.0,0.158,11.0,0.45100000000000007,11.0,0.239
12.0,0.122,12.0,0.41800000000000004,12.0,0.24699999999999997
13.0,0.157,13.0,0.48,13.0,0.22699999999999998
14.0,0.158,14.0,0.4059999999999999,14.0,0.24199999999999997
15.0,0.17400000000000002,15.0,0.6120000000000001,15.0,0.3
16.0,0.184,16.0,0.74,16.0,0.279
17.0,0.167,17.0,0.6110000000000001,17.0,0.377
18.0,0.172,18.0,0.769,18.0,0.36400000000000005
19.0,0.179,19.0,0.731,19.0,0.292
20.0,0.165,20.0,0.729,20.0,0.398
21.0,0.176,21.0,0.7770000000000001,21.0,0.31599999999999995
22.0,0.16899999999999998,22.0,0.659,22.0,0.288
23.0,0.208,23.0,0.877,23.0,0.44800000000000006
24.0,0.225,24.0,1.043,24.0,0.423
25.0,0.206,25.0,0.8419999999999999,25.0,0.46399999999999997
26.0,0.20900000000000002,26.0,1.048,26.0,0.5269999999999999
27.0,0.221,27.0,1.066,27.0,0.435
28.0,0.203,28.0,0.8210000000000001,28.0,0.48699999999999993
29.0,0.202,29.0,1.0550000000000002,29.0,0.5209999999999999
30.0,0.237,30.0,1.0550000000000002,30.0,0.48700000000000004
31.0,0.243,31.0,0.819,31.0,0.5379999999999999
32.0,0.256,32.0,1.29,32.0,0.605
33.0,0.276,33.0,1.2970000000000002,33.0,0.5449999999999999
34.0,0.237,34.0,0.8880000000000001,34.0,0.603
35.0,0.273,35.0,1.308,35.0,0.607
36.0,0.27999999999999997,36.0,1.301,36.0,0.518
37.0,0.245,37.0,0.9690000000000001,37.0,0.601
38.0,0.264,38.0,1.305,38.0,0.606
39.0,0.22999999999999998,39.0,1.399,39.0,0.62
40.0,0.254,40.0,1.0779999999999998,40.0,0.6799999999999999
41.0,0.295,41.0,1.486,41.0,0.6819999999999999
42.0,0.315,42.0,1.4769999999999999,42.0,0.626
43.0,0.254,43.0,1.01,43.0,0.678
44.0,0.294,44.0,1.492,44.0,0.681
45.0,0.316,45.0,1.496,45.0,0.622
46.0,0.279,46.0,1.02,46.0,0.692
47.0,0.357,47.0,1.526,47.0,0.711
48.0,0.328,48.0,1.643,48.0,0.601
49.0,0.32199999999999995,49.0,1.37,49.0,0.711
50.0,0.285,50.0,1.6119999999999999,50.0,0.778
51.0,0.33599999999999997,51.0,1.651,51.0,0.5920000000000001
52.0,0.32399999999999995,52.0,1.456,52.0,0.669
53.0,0.27199999999999996,53.0,1.571,53.0,0.779
54.0,0.33199999999999996,54.0,1.649,54.0,0.608
55.0,0.32699999999999996,55.0,1.456,55.0,0.723
56.0,0.292,56.0,1.668,56.0,0.798
57.0,0.352,57.0,1.75,57.0,0.637
58.0,0.35,58.0,1.619,58.0,0.747
59.0,0.27899999999999997,59.0,1.657,59.0,0.805
60.0,0.348,60.0,1.737,60.0,0.648
61.0,0.33999999999999997,61.0,1.6320000000000001,61.0,0.735
62.0,0.262,62.0,1.589,62.0,0.795
63.0,0.32499999999999996,63.0,1.744,63.0,0.6890000000000001
64.0,0.41700000000000004,64.0,1.713,64.0,0.742
65.0,0.33099999999999996,65.0,1.5470000000000002,65.0,0.8039999999999999
66.0,0.35100000000000003,66.0,1.796,66.0,0.742
67.0,0.368,67.0,1.794,67.0,0.717
68.0,0.34299999999999997,68.0,1.497,68.0,0.794
69.0,0.35100000000000003,69.0,1.802,69.0,0.746
70.0,0.35300000000000004,70.0,1.761,70.0,0.7310000000000001
71.0,0.332,71.0,1.4589999999999999,71.0,0.807
72.0,0.34299999999999997,72.0,1.79,72.0,0.739
73.0,0.354,73.0,1.77,73.0,0.73
74.0,0.30900000000000005,74.0,1.4769999999999999,74.0,0.833
75.0,0.33599999999999997,75.0,1.782,75.0,0.75
76.0,0.362,76.0,1.7890000000000001,76.0,0.725
77.0,0.32499999999999996,77.0,1.346,77.0,0.814
78.0,0.368,78.0,1.785,78.0,0.79
79.0,0.348,79.0,1.7810000000000001,79.0,0.742
80.0,0.22799999999999992,80.0,1.3800000000000001,80.0,0.829
81.0,0.30800000000000005,81.0,1.73,81.0,0.743
82.0,0.3360000000000001,82.0,1.734,82.0,0.691
83.0,0.29100000000000004,83.0,1.265,83.0,0.7929999999999999
84.0,0.32000000000000006,84.0,1.7249999999999999,84.0,0.763
85.0,0.339,85.0,1.719,85.0,0.717
86.0,0.25499999999999995,86.0,1.305,86.0,0.7789999999999999
87.0,0.32900000000000007,87.0,1.724,87.0,0.751
88.0,0.404,88.0,1.653,88.0,0.6779999999999999
89.0,0.26699999999999996,89.0,1.311,89.0,0.734
90.0,0.305,90.0,1.648,90.0,0.7120000000000001
91.0,0.323,91.0,1.639,91.0,0.688
92.0,0.27299999999999996,92.0,1.26,92.0,0.732
93.0,0.296,93.0,1.633,93.0,0.6960000000000001
94.0,0.34500000000000003,94.0,1.631,94.0,0.697
95.0,0.25299999999999995,95.0,1.425,95.0,0.734
96.0,0.239,96.0,1.5699999999999998,96.0,0.585
97.0,0.2869999999999999,97.0,1.422,97.0,0.6319999999999999
98.0,0.242,98.0,1.198,98.0,0.6489999999999999
99.0,0.2739999999999999,99.0,1.448,99.0,0.585
100.0,0.2779999999999999,100.0,1.4240000000000002,100.0,0.6060000000000001
101.0,0.254,101.0,1.158,101.0,0.641
102.0,0.2709999999999999,102.0,1.4460000000000002,102.0,0.607
103.0,0.30699999999999994,103.0,1.442,103.0,0.6060000000000001
104.0,0.21000000000000008,104.0,1.0130000000000001,104.0,0.604
105.0,0.22599999999999998,105.0,1.27,105.0,0.541
106.0,0.23399999999999999,106.0,1.2610000000000001,106.0,0.559
107.0,0.17900000000000005,107.0,0.9339999999999999,107.0,0.5690000000000001
108.0,0.19899999999999995,108.0,1.212,108.0,0.562
109.0,0.244,109.0,1.266,109.0,0.49600000000000005
110.0,0.243,110.0,0.998,110.0,0.559
111.0,0.20999999999999996,111.0,1.238,111.0,0.5700000000000001
112.0,0.264,112.0,1.159,112.0,0.47000000000000003
113.0,0.16000000000000003,113.0,0.748,113.0,0.46299999999999997
114.0,0.16000000000000003,114.0,0.9820000000000001,114.0,0.429
115.0,0.19100000000000006,115.0,1.0110000000000001,115.0,0.40199999999999997
116.0,0.15700000000000003,116.0,0.7629999999999999,116.0,0.45
117.0,0.14900000000000002,117.0,0.9119999999999999,117.0,0.452
118.0,0.18800000000000006,118.0,1.024,118.0,0.417
119.0,0.21399999999999997,119.0,0.957,119.0,0.42499999999999993
120.0,0.15600000000000003,120.0,0.772,120.0,0.44
121.0,0.14500000000000002,121.0,0.748,121.0,0.32800000000000007
122.0,0.14100000000000001,122.0,0.7110000000000001,122.0,0.297
123.0,0.11299999999999999,123.0,0.5680000000000001,123.0,0.323
124.0,0.132,124.0,0.732,124.0,0.31300000000000006
125.0,0.134,125.0,0.7050000000000001,125.0,0.292
126.0,0.123,126.0,0.53,126.0,0.31700000000000006
127.0,0.12,127.0,0.722,127.0,0.29900000000000004
128.0,0.139,128.0,0.7230000000000001,128.0,0.25099999999999995
129.0,0.09900000000000009,129.0,0.41000000000000003,129.0,0.22899999999999998
130.0,0.08600000000000008,130.0,0.438,130.0,0.202
131.0,0.08600000000000008,131.0,0.438,131.0,0.18200000000000005
132.0,0.08300000000000007,132.0,0.382,132.0,0.22199999999999998
133.0,0.08900000000000008,133.0,0.39199999999999996,133.0,0.19899999999999995
134.0,0.09300000000000008,134.0,0.443,134.0,0.19199999999999995
135.0,0.08000000000000007,135.0,0.41600000000000004,135.0,0.22799999999999998
136.0,0.08600000000000008,136.0,0.37499999999999994,136.0,0.189
137.0,0.07000000000000006,137.0,0.315,137.0,0.16399999999999998
138.0,0.04800000000000004,138.0,0.15499999999999997,138.0,0.10100000000000003
139.0,0.05600000000000005,139.0,0.13799999999999996,139.0,0.09600000000000003
140.0,0.05900000000000005,140.0,0.16499999999999998,140.0,0.11900000000000005
141.0,0.029000000000000026,141.0,0.13799999999999996,141.0,0.10000000000000003
142.0,0.06300000000000006,142.0,0.14799999999999996,142.0,0.10500000000000004
143.0,0.062000000000000055,143.0,0.15999999999999998,143.0,0.12100000000000005
144.0,0.030000000000000027,144.0,0.11299999999999999,144.0,0.09300000000000003
145.0,0.07300000000000006,145.0,0.193,145.0,0.11999999999999994
146.0,0.07100000000000006,146.0,0.21800000000000003,146.0,0.12099999999999994
147.0,0.08000000000000007,147.0,0.22600000000000003,147.0,0.08800000000000002
148.0,0.07300000000000006,148.0,0.21700000000000003,148.0,0.14699999999999996
149.0,0.07200000000000006,149.0,0.23000000000000004,149.0,0.14799999999999996
150.0,0.08300000000000007,150.0,0.23000000000000004,150.0,0.08200000000000002
151.0,0.07700000000000007,151.0,0.22700000000000004,151.0,0.15099999999999997
152.0,0.06500000000000006,152.0,0.21800000000000003,152.0,0.14199999999999996
153.0,0.11499999999999999,153.0,0.35500000000000004,153.0,0.14200000000000002
154.0,0.1269999999999999,154.0,0.48900000000000005,154.0,0.28300000000000003
155.0,0.10599999999999998,155.0,0.435,155.0,0.30400000000000005
156.0,0.129,156.0,0.514,156.0,0.257
157.0,0.124,157.0,0.5010000000000001,157.0,0.29600000000000004
158.0,0.123,158.0,0.459,158.0,0.331
159.0,0.1319999999999999,159.0,0.5090000000000001,159.0,0.22699999999999998
160.0,0.16599999999999993,160.0,0.49900000000000005,160.0,0.28300000000000003
161.0,0.09599999999999997,161.0,0.5529999999999999,161.0,0.385
162.0,0.17400000000000004,162.0,0.8059999999999999,162.0,0.36800000000000005
163.0,0.19399999999999995,163.0,0.8039999999999999,163.0,0.43
164.0,0.16000000000000003,164.0,0.6739999999999999,164.0,0.462
165.0,0.18199999999999994,165.0,0.829,165.0,0.39399999999999996
166.0,0.19499999999999995,166.0,0.825,166.0,0.453
167.0,0.16200000000000003,167.0,0.657,167.0,0.481
168.0,0.17399999999999993,168.0,0.817,168.0,0.408
169.0,0.18699999999999994,169.0,0.894,169.0,0.41400000000000003
170.0,0.23199999999999998,170.0,0.863,170.0,0.536
171.0,0.19900000000000007,171.0,1.0419999999999998,171.0,0.527
172.0,0.257,172.0,1.0919999999999999,172.0,0.437
173.0,0.248,173.0,0.977,173.0,0.529
174.0,0.18800000000000006,174.0,1.052,174.0,0.532
175.0,0.254,175.0,1.093,175.0,0.446
176.0,0.251,176.0,1.02,176.0,0.511
177.0,0.21600000000000008,177.0,1.059,177.0,0.536
178.0,0.272,178.0,1.301,178.0,0.49200000000000005
179.0,0.28600000000000003,179.0,1.257,179.0,0.58
180.0,0.20399999999999996,180.0,1.1909999999999998,180.0,0.653
181.0,0.277,181.0,1.333,181.0,0.5670000000000001
182.0,0.28400000000000003,182.0,1.276,182.0,0.588
183.0,0.23099999999999998,183.0,1.2610000000000001,183.0,0.64
184.0,0.28600000000000003,184.0,1.3359999999999999,184.0,0.518
185.0,0.28800000000000003,185.0,1.253,185.0,0.574
186.0,0.235,186.0,1.394,186.0,0.712
187.0,0.31399999999999995,187.0,1.535,187.0,0.653
188.0,0.31399999999999995,188.0,1.4669999999999999,188.0,0.686
189.0,0.22499999999999998,189.0,1.347,189.0,0.766
190.0,0.32099999999999995,190.0,1.55,190.0,0.688
191.0,0.31499999999999995,191.0,1.458,191.0,0.664
192.0,0.246,192.0,1.3459999999999999,192.0,0.767
193.0,0.31699999999999995,193.0,1.54,193.0,0.6859999999999999
194.0,0.414,194.0,1.503,194.0,0.7509999999999999
195.0,0.28500000000000003,195.0,1.501,195.0,0.832
196.0,0.34400000000000003,196.0,1.7009999999999998,196.0,0.733
197.0,0.35400000000000004,197.0,1.6760000000000002,197.0,0.761
198.0,0.301,198.0,1.4649999999999999,198.0,0.843
199.0,0.348,199.0,1.6989999999999998,199.0,0.746
200.0,0.34400000000000003,200.0,1.657,200.0,0.757
201.0,0.299,201.0,1.509,201.0,0.841
202.0,0.31799999999999995,202.0,1.76,202.0,0.695
203.0,0.3559999999999999,203.0,1.673,203.0,0.8
204.0,0.27699999999999997,204.0,1.579,204.0,0.836
205.0,0.35200000000000004,205.0,1.776,205.0,0.722
206.0,0.36499999999999994,206.0,1.758,206.0,0.783
207.0,0.29699999999999993,207.0,1.515,207.0,0.829
208.0,0.36499999999999994,208.0,1.7750000000000001,208.0,0.746
209.0,0.37399999999999994,209.0,1.731,209.0,0.773
210.0,0.28400000000000003,210.0,1.5130000000000001,210.0,0.857
211.0,0.359,211.0,1.8379999999999999,211.0,0.8119999999999999
212.0,0.363,212.0,1.794,212.0,0.781
213.0,0.285,213.0,1.498,213.0,0.859
214.0,0.357,214.0,1.8359999999999999,214.0,0.8059999999999999
215.0,0.366,215.0,1.816,215.0,0.76
216.0,0.302,216.0,1.367,216.0,0.87
217.0,0.356,217.0,1.826,217.0,0.823
218.0,0.43999999999999995,218.0,1.849,218.0,0.7100000000000001
219.0,0.31500000000000006,219.0,1.4289999999999998,219.0,0.917
220.0,0.346,220.0,1.844,220.0,0.893
221.0,0.375,221.0,1.844,221.0,0.734
222.0,0.321,222.0,1.419,222.0,0.91
223.0,0.31399999999999995,223.0,1.7930000000000001,223.0,0.899
224.0,0.356,224.0,1.8459999999999999,224.0,0.647
225.0,0.362,225.0,1.7149999999999999,225.0,0.903
226.0,0.24499999999999997,226.0,1.701,226.0,0.892
227.0,0.348,227.0,1.782,227.0,0.7120000000000001
228.0,0.35,228.0,1.689,228.0,0.85
229.0,0.274,229.0,1.623,229.0,0.8470000000000001
230.0,0.33699999999999997,230.0,1.782,230.0,0.7190000000000001
231.0,0.345,231.0,1.762,231.0,0.78
232.0,0.293,232.0,1.4249999999999998,232.0,0.8440000000000001
233.0,0.32499999999999996,233.0,1.772,233.0,0.792
234.0,0.352,234.0,1.781,234.0,0.7350000000000001
235.0,0.32,235.0,1.29,235.0,0.768
236.0,0.275,236.0,1.63,236.0,0.772
237.0,0.321,237.0,1.668,237.0,0.5389999999999999
238.0,0.311,238.0,1.466,238.0,0.748
239.0,0.26,239.0,1.576,239.0,0.756
240.0,0.315,240.0,1.651,240.0,0.597
241.0,0.307,241.0,1.498,241.0,0.748
242.0,0.22300000000000003,242.0,1.413,242.0,0.762
243.0,0.272,243.0,1.542,243.0,0.6669999999999999
244.0,0.283,244.0,1.454,244.0,0.683
245.0,0.18000000000000002,245.0,1.217,245.0,0.739
246.0,0.274,246.0,1.497,246.0,0.6729999999999999
247.0,0.275,247.0,1.472,247.0,0.6990000000000001
248.0,0.189,248.0,1.301,248.0,0.73
249.0,0.28099999999999997,249.0,1.4869999999999999,249.0,0.642
250.0,0.28,250.0,1.4569999999999999,250.0,0.671
251.0,0.153,251.0,1.1059999999999999,251.0,0.708
252.0,0.247,252.0,1.326,252.0,0.6179999999999999
253.0,0.251,253.0,1.2890000000000001,253.0,0.625
254.0,0.197,254.0,1.069,254.0,0.6799999999999999
255.0,0.242,255.0,1.323,255.0,0.6379999999999999
256.0,0.275,256.0,1.285,256.0,0.625
257.0,0.185,257.0,1.138,257.0,0.6819999999999999
258.0,0.246,258.0,1.32,258.0,0.602
259.0,0.28600000000000003,259.0,1.119,259.0,0.5299999999999999
260.0,0.158,260.0,0.933,260.0,0.5149999999999999
261.0,0.198,261.0,1.0539999999999998,261.0,0.43199999999999994
262.0,0.201,262.0,1.002,262.0,0.5149999999999999
263.0,0.156,263.0,0.9939999999999999,263.0,0.49899999999999994
264.0,0.199,264.0,1.045,264.0,0.37799999999999995
265.0,0.192,265.0,0.976,265.0,0.508
266.0,0.162,266.0,0.983,266.0,0.506
267.0,0.138,267.0,0.9189999999999998,267.0,0.347
268.0,0.12300000000000001,268.0,0.638,268.0,0.387
269.0,0.121,269.0,0.7550000000000001,269.0,0.361
270.0,0.139,270.0,0.7570000000000001,270.0,0.32099999999999995
271.0,0.12300000000000001,271.0,0.616,271.0,0.377
272.0,0.134,272.0,0.7520000000000001,272.0,0.338
273.0,0.132,273.0,0.746,273.0,0.363
274.0,0.128,274.0,0.6960000000000001,274.0,0.379
275.0,0.12200000000000001,275.0,0.5609999999999999,275.0,0.223
276.0,0.107,276.0,0.45599999999999996,276.0,0.31
277.0,0.11900000000000001,277.0,0.5229999999999999,277.0,0.294
278.0,0.08900000000000001,278.0,0.482,278.0,0.235
279.0,0.093,279.0,0.399,279.0,0.301
280.0,0.117,280.0,0.497,280.0,0.287
281.0,0.08700000000000002,281.0,0.46699999999999997,281.0,0.277
282.0,0.099,282.0,0.35599999999999987,282.0,0.301
283.0,0.06200000000000001,283.0,0.31999999999999995,283.0,0.15599999999999997
284.0,0.04300000000000001,284.0,0.2779999999999999,284.0,0.16799999999999998
285.0,0.05800000000000001,285.0,0.2889999999999999,285.0,0.10999999999999999
286.0,0.06600000000000002,286.0,0.2879999999999999,286.0,0.15599999999999997
287.0,0.06000000000000001,287.0,0.28300000000000003,287.0,0.15999999999999998
288.0,0.048,288.0,0.243,288.0,0.07899999999999999
289.0,0.063,289.0,0.2809999999999999,289.0,0.15199999999999997
290.0,1.089,290.0,0.772,290.0,0.6829999999999999
