phase_deg,amp
121.944408396,1.1357447777777778
201.464902785,1.1357447777777778
103.152982458,1.1979892222222221
220.10506329,1.1979892222222221
89.078051963,1.2602336666666667
235.080486044,1.2602336666666667
76.727748049,1.3224781111111112
246.292780882,1.3224781111111112
62.288604066,1.3847225555555556
259.950753503,1.3847225555555556
47.877440178,1.4469670000000001
275.435239207,1.4469670000000001
34.00600062,1.5092114444444444
287.212189644,1.5092114444444444
15.028302094,1.571455888888889
305.858213064,1.571455888888889
