data1,data2
0.0,0.11
10.0,9.4
20.0,18.45
30.0,28.87
40.0,39.13
50.0,49.14
60.0,59.13
70.0,69.82
80.0,78.3
90.0,89.33
100.0,98.89
110.0,109.04
120.0,118.93
130.0,129.78
140.0,138.33
150.0,149.04
160.0,159.46
170.0,168.95
180.0,179.37
190.0,189.38
200.0,198.45
210.0,208.89
220.0,219.13
230.0,229.1
240.0,239.13
250.0,249.8
260.0,258.28
270.0,269.32
280.0,278.78
290.0,289.04
300.0,298.94
310.0,309.78
320.0,318.33
330.0,329.04
340.0,339.48
350.0,348.93
360.0,359.35
