data1,data2,data3
0.18,0.982,-0.211
0.182,0.998,-0.219
0.177,1.007,-0.214
0.18,1.007,-0.219
0.183,1.013,-0.225
0.178,1.014,-0.238
0.184,1.02,-0.231
0.178,1.023,-0.243
0.187,1.023,-0.235
0.181,1.027,-0.253
0.179,1.027,-0.259
0.167,1.039,-0.261
0.172,1.05,-0.268
0.169,1.046,-0.271
0.163,1.055,-0.272
0.163,1.054,-0.274
0.175,1.054,-0.28
0.172,1.063,-0.285
0.164,1.054,-0.284
0.167,1.072,-0.294
0.158,1.066,-0.297
0.164,1.062,-0.316
0.162,1.061,-0.306
0.16,1.064,-0.317
0.166,1.065,-0.319
0.162,1.066,-0.315
0.155,1.064,-0.338
0.154,1.062,-0.331
0.159,1.063,-0.34
0.164,1.062,-0.348
0.156,1.059,-0.346
0.158,1.061,-0.345
0.16,1.058,-0.353
0.165,1.054,-0.373
0.154,1.054,-0.371
0.158,1.051,-0.367
0.16,1.054,-0.373
0.154,1.054,-0.362
0.156,1.055,-0.382
0.148,1.034,-0.392
0.151,1.032,-0.394
0.154,1.034,-0.4
0.149,1.036,-0.391
0.151,1.025,-0.405
0.146,1.022,-0.41
0.142,1.019,-0.412
0.14,1.018,-0.417
0.147,1.016,-0.423
0.146,1.006,-0.436
0.145,1.008,-0.422
0.14,0.992,-0.424
0.148,0.989,-0.437
0.152,0.98,-0.433
0.15,0.976,-0.44
0.153,0.966,-0.448
0.144,0.964,-0.438
0.136,0.955,-0.449
0.136,0.945,-0.454
0.147,0.936,-0.453
0.14,0.934,-0.464
0.142,0.922,-0.452
0.137,0.913,-0.458
0.14,0.901,-0.463
0.141,0.894,-0.47
0.134,0.883,-0.461
0.138,0.869,-0.466
0.139,0.866,-0.465
0.137,0.848,-0.465
0.145,0.842,-0.465
0.141,0.835,-0.465
0.144,0.823,-0.471
0.144,0.815,-0.476
0.145,0.801,-0.476
0.144,0.796,-0.474
0.139,0.783,-0.47
0.143,0.79,-0.485
0.141,0.771,-0.482
0.146,0.764,-0.481
0.151,0.761,-0.479
0.158,0.734,-0.489
0.152,0.734,-0.477
0.142,0.722,-0.491
0.149,0.709,-0.488
0.148,0.694,-0.492
0.144,0.685,-0.483
0.146,0.683,-0.481
0.145,0.66,-0.475
0.149,0.647,-0.47
0.146,0.639,-0.483
0.147,0.631,-0.479
0.143,0.619,-0.469
0.154,0.606,-0.478
0.142,0.6,-0.478
0.147,0.589,-0.464
0.148,0.572,-0.456
0.146,0.574,-0.464
0.156,0.554,-0.461
0.152,0.548,-0.452
0.155,0.525,-0.459
0.16,0.52,-0.457
0.151,0.509,-0.454
0.154,0.498,-0.455
0.148,0.492,-0.463
0.154,0.472,-0.455
0.148,0.461,-0.446
0.153,0.452,-0.446
0.15,0.45,-0.445
0.151,0.439,-0.43
0.151,0.439,-0.435
0.152,0.424,-0.439
0.148,0.417,-0.432
0.151,0.405,-0.419
0.157,0.404,-0.432
0.152,0.394,-0.422
0.164,0.384,-0.424
0.154,0.376,-0.416
0.165,0.363,-0.411
0.162,0.348,-0.404
0.169,0.348,-0.398
0.154,0.342,-0.397
0.167,0.335,-0.393
0.161,0.322,-0.381
0.161,0.315,-0.38
0.165,0.301,-0.377
0.167,0.292,-0.375
0.169,0.29,-0.377
0.166,0.277,-0.361
0.162,0.269,-0.354
0.175,0.266,-0.358
0.17,0.263,-0.351
0.169,0.251,-0.354
0.172,0.246,-0.348
0.176,0.241,-0.34
0.178,0.246,-0.337
0.172,0.239,-0.331
0.176,0.227,-0.32
0.176,0.229,-0.325
0.175,0.22,-0.312
0.171,0.219,-0.31
0.185,0.215,-0.313
0.18,0.21,-0.31
0.182,0.203,-0.304
0.187,0.202,-0.287
0.185,0.2,-0.287
0.184,0.198,-0.287
0.179,0.195,-0.282
0.18,0.188,-0.279
0.19,0.199,-0.269
0.182,0.187,-0.257
0.188,0.188,-0.264
0.192,0.184,-0.248
0.184,0.183,-0.246
0.194,0.185,-0.24
0.197,0.186,-0.23
0.193,0.187,-0.228
0.193,0.19,-0.224
0.194,0.193,-0.219
0.187,0.198,-0.216
0.201,0.191,-0.219
0.2,0.197,-0.216
0.196,0.198,-0.217
0.196,0.196,-0.22
0.203,0.198,-0.202
0.203,0.197,-0.192
0.204,0.196,-0.189
0.203,0.201,-0.19
0.205,0.212,-0.183
0.199,0.209,-0.181
0.209,0.213,-0.185
0.201,0.216,-0.168
0.208,0.222,-0.169
0.199,0.229,-0.161
0.198,0.233,-0.154
0.204,0.238,-0.158
0.205,0.245,-0.158
0.21,0.25,-0.147
0.207,0.255,-0.151
0.203,0.261,-0.153
0.218,0.259,-0.141
0.215,0.271,-0.145
0.207,0.281,-0.131
0.211,0.287,-0.136
0.205,0.295,-0.124
0.211,0.308,-0.126
0.214,0.309,-0.13
0.207,0.32,-0.124
0.209,0.334,-0.128
0.214,0.347,-0.117
0.209,0.348,-0.112
0.213,0.357,-0.106
0.207,0.367,-0.115
0.21,0.378,-0.108
0.207,0.382,-0.109
0.21,0.394,-0.101
0.212,0.403,-0.108
0.205,0.393,-0.1
0.205,0.418,-0.1
0.208,0.414,-0.1
0.212,0.427,-0.089
0.213,0.441,-0.097
0.212,0.444,-0.1
0.215,0.462,-0.099
0.218,0.471,-0.091
0.218,0.486,-0.106
0.215,0.489,-0.105
0.217,0.495,-0.1
0.215,0.5,-0.103
0.214,0.512,-0.104
0.211,0.518,-0.106
0.215,0.538,-0.107
0.213,0.546,-0.097
0.209,0.567,-0.101
0.208,0.576,-0.106
0.21,0.59,-0.101
0.208,0.595,-0.102
0.214,0.601,-0.107
0.215,0.612,-0.101
0.213,0.628,-0.094
0.221,0.643,-0.099
0.211,0.646,-0.109
0.213,0.654,-0.112
0.204,0.659,-0.11
0.207,0.681,-0.106
0.209,0.698,-0.108
0.221,0.701,-0.108
0.216,0.71,-0.121
0.207,0.721,-0.117
0.213,0.733,-0.122
0.206,0.742,-0.12
0.209,0.753,-0.116
0.202,0.764,-0.132
0.205,0.773,-0.141
0.207,0.786,-0.13
0.193,0.793,-0.14
0.2,0.803,-0.133
0.196,0.812,-0.134
0.193,0.829,-0.135
0.195,0.83,-0.14
0.198,0.844,-0.146
0.191,0.853,-0.148
0.189,0.857,-0.158
0.192,0.869,-0.146
0.196,0.871,-0.164
0.194,0.88,-0.174
0.195,0.897,-0.171
0.197,0.909,-0.162
0.199,0.911,-0.17
0.195,0.922,-0.178
0.191,0.932,-0.185
0.184,0.939,-0.185
0.184,0.948,-0.188
0.186,0.951,-0.193
0.18,0.958,-0.198
0.185,0.97,-0.213
0.186,0.977,-0.207
0.181,0.977,-0.213
0.179,0.985,-0.217
0.17,0.999,-0.224
0.174,0.996,-0.229
0.177,1.006,-0.225
0.176,1.011,-0.239
0.181,1.011,-0.239
0.181,1.014,-0.246
0.175,1.021,-0.255
0.181,1.029,-0.248
0.181,1.03,-0.259
0.179,1.035,-0.274
0.18,1.035,-0.261
0.174,1.049,-0.276
0.174,1.042,-0.292
0.17,1.05,-0.293
0.167,1.049,-0.289
0.163,1.048,-0.301
0.163,1.056,-0.298
0.161,1.058,-0.315
0.163,1.055,-0.311
0.161,1.059,-0.318
0.163,1.06,-0.334
0.158,1.063,-0.317
0.165,1.059,-0.326
0.159,1.063,-0.334
0.158,1.065,-0.342
0.159,1.064,-0.338
0.155,1.065,-0.349
0.158,1.069,-0.36
0.164,1.067,-0.341
0.155,1.061,-0.366
0.157,1.062,-0.373
0.155,1.052,-0.38
0.162,1.051,-0.373
0.158,1.051,-0.387
0.156,1.045,-0.387
0.159,1.046,-0.395
0.158,1.05,-0.389
0.151,1.037,-0.397
0.149,1.039,-0.407
0.15,1.042,-0.406
0.151,1.025,-0.401
0.148,1.016,-0.409
0.144,1.023,-0.403
0.144,1.02,-0.409
0.146,1.018,-0.414
0.145,1.006,-0.418
0.146,1.0,-0.423
0.141,1.001,-0.415
0.141,0.993,-0.432
0.142,0.988,-0.425
0.141,0.983,-0.443
0.146,0.977,-0.433
0.148,0.971,-0.43
0.14,0.967,-0.445
0.147,0.96,-0.447
0.145,0.948,-0.451
0.142,0.933,-0.456
0.14,0.923,-0.461
0.14,0.918,-0.451
0.142,0.916,-0.455
0.139,0.903,-0.462
0.14,0.889,-0.468
0.135,0.88,-0.461
0.139,0.874,-0.463
0.129,0.865,-0.472
0.128,0.858,-0.462
0.137,0.846,-0.473
0.135,0.841,-0.471
0.139,0.826,-0.472
0.14,0.816,-0.479
0.139,0.812,-0.468
0.139,0.802,-0.473
0.137,0.791,-0.478
0.144,0.786,-0.477
0.137,0.782,-0.475
0.147,0.774,-0.483
0.149,0.762,-0.479
0.142,0.749,-0.481
0.143,0.74,-0.477
0.146,0.728,-0.487
0.147,0.718,-0.473
0.143,0.698,-0.479
0.137,0.693,-0.489
0.144,0.677,-0.48
0.148,0.657,-0.48
