phase_deg,amp
31.464801205722765,1.13245
56.527523773005235,1.13245
117.81259229921216,1.13245
142.10211559747648,1.13245
204.30151037734143,1.13245
228.86319350154602,1.13245
291.02103450580694,1.13245
315.3681464766968,1.13245
13.293770730183082,1.3487500000000001
40.169015779297574,1.3487500000000001
77.50305694617015,1.3487500000000001
102.67800939546791,1.3487500000000001
126.60430544844414,1.3487500000000001
162.7325883397733,1.3487500000000001
187.05389668906838,1.3487500000000001
213.03989415344432,1.3487500000000001
250.5315237187832,1.3487500000000001
273.6502452813896,1.3487500000000001
299.47472907733584,1.3487500000000001
336.14782027686175,1.3487500000000001
352.83306749996984,1.3487500000000001
