0,1,2
0.942,0.511,-0.451
0.397,0.172,-0.602
0.404,0.222,-0.615
0.41,0.265,-0.648
0.413,0.322,-0.665
0.43,0.383,-0.685
0.453,0.437,-0.707
0.457,0.489,-0.709
0.473,0.538,-0.72
0.484,0.59,-0.729
0.49,0.626,-0.737
0.509,0.681,-0.756
0.512,0.741,-0.759
0.524,0.785,-0.778
0.526,0.843,-0.78
0.527,0.902,-0.795
0.544,0.965,-0.802
0.554,1.022,-0.807
0.557,1.078,-0.799
0.57,1.134,-0.804
0.571,1.199,-0.792
0.585,1.253,-0.797
0.593,1.304,-0.792
0.604,1.338,-0.771
0.601,1.388,-0.741
0.615,1.425,-0.724
0.624,1.456,-0.705
0.631,1.495,-0.694
0.635,1.526,-0.673
0.645,1.54,-0.643
0.646,1.558,-0.618
0.648,1.57,-0.595
0.65,1.576,-0.57
0.662,1.586,-0.533
0.667,1.582,-0.518
0.662,1.583,-0.489
0.655,1.57,-0.447
0.658,1.559,-0.419
0.658,1.542,-0.388
0.667,1.526,-0.36
0.666,1.498,-0.326
0.661,1.469,-0.298
0.659,1.443,-0.27
0.659,1.404,-0.247
0.658,1.37,-0.22
0.661,1.334,-0.189
0.649,1.297,-0.163
0.645,1.245,-0.137
0.632,1.185,-0.113
0.641,1.139,-0.088
0.626,1.083,-0.065
0.617,1.036,-0.053
0.608,0.971,-0.035
0.607,0.923,-0.021
0.595,0.86,-0.004
0.597,0.795,0.005
0.578,0.735,0.018
0.579,0.671,0.03
0.553,0.616,0.042
0.549,0.554,0.033
0.535,0.499,0.058
0.536,0.439,0.047
0.519,0.384,0.04
0.508,0.314,0.037
0.498,0.281,0.045
0.483,0.223,0.038
0.483,0.182,0.039
0.464,0.117,0.021
0.467,0.085,0.003
0.443,0.039,-0.023
0.439,0.003,-0.03
0.433,-0.032,-0.045
0.427,-0.073,-0.063
0.417,-0.099,-0.085
0.408,-0.128,-0.099
0.399,-0.15,-0.143
0.389,-0.168,-0.155
0.383,-0.181,-0.174
0.379,-0.175,-0.21
0.376,-0.183,-0.23
0.37,-0.185,-0.261
0.369,-0.177,-0.293
0.364,-0.158,-0.321
0.365,-0.14,-0.361
0.365,-0.116,-0.398
0.355,-0.096,-0.429
0.366,-0.065,-0.443
0.371,-0.033,-0.473
0.371,0.008,-0.501
0.376,0.047,-0.538
0.376,0.087,-0.56
0.384,0.131,-0.587
0.396,0.182,-0.62
0.399,0.238,-0.633
0.416,0.294,-0.65
0.427,0.347,-0.675
0.442,0.406,-0.689
0.45,0.449,-0.698
0.47,0.511,-0.711
0.482,0.561,-0.732
0.489,0.607,-0.728
0.502,0.655,-0.748
0.507,0.717,-0.758
0.521,0.764,-0.769
0.526,0.812,-0.774
0.527,0.874,-0.791
0.538,0.931,-0.803
0.549,0.974,-0.806
0.554,1.042,-0.794
0.563,1.099,-0.802
0.574,1.167,-0.797
0.578,1.218,-0.784
0.589,1.272,-0.78
0.597,1.322,-0.765
0.603,1.364,-0.764
0.607,1.398,-0.739
0.618,1.437,-0.716
0.622,1.47,-0.705
0.628,1.496,-0.681
0.641,1.527,-0.657
0.644,1.548,-0.627
0.647,1.562,-0.612
0.652,1.574,-0.58
0.644,1.583,-0.555
0.654,1.589,-0.518
0.656,1.582,-0.495
0.672,1.584,-0.473
0.664,1.569,-0.444
0.669,1.555,-0.413
0.666,1.54,-0.375
0.668,1.514,-0.343
0.665,1.49,-0.325
0.661,1.455,-0.289
0.662,1.44,-0.258
0.659,1.398,-0.232
0.665,1.358,-0.208
0.655,1.317,-0.184
0.646,1.276,-0.158
0.642,1.229,-0.128
0.633,1.172,-0.12
0.629,1.118,-0.084
0.628,1.058,-0.05
0.614,1.013,-0.038
0.608,0.953,-0.03
0.597,0.887,-0.009
0.591,0.822,0.015
0.574,0.757,0.028
0.571,0.706,0.027
0.558,0.64,0.037
0.55,0.58,0.043
0.538,0.532,0.056
0.523,0.463,0.045
0.517,0.402,0.044
0.51,0.348,0.044
0.508,0.291,0.034
0.492,0.241,0.042
0.483,0.192,0.029
0.47,0.153,0.018
0.461,0.096,0.019
0.446,0.053,0.005
0.443,0.012,-0.008
0.437,-0.023,-0.033
0.424,-0.052,-0.046
0.421,-0.082,-0.062
0.405,-0.115,-0.089
0.398,-0.133,-0.112
0.399,-0.149,-0.144
0.391,-0.17,-0.169
0.384,-0.179,-0.194
0.372,-0.191,-0.22
0.371,-0.191,-0.243
0.363,-0.181,-0.279
0.36,-0.17,-0.314
0.355,-0.161,-0.344
0.357,-0.137,-0.37
0.361,-0.113,-0.396
0.36,-0.085,-0.428
0.368,-0.053,-0.467
0.368,-0.01,-0.499
0.372,0.034,-0.523
0.38,0.078,-0.547
0.38,0.111,-0.578
0.384,0.172,-0.606
0.406,0.225,-0.629
0.407,0.266,-0.647
0.418,0.333,-0.671
0.435,0.379,-0.694
0.437,0.429,-0.701
0.456,0.478,-0.712
0.462,0.54,-0.718
0.485,0.582,-0.732
0.482,0.624,-0.738
0.499,0.674,-0.746
0.511,0.728,-0.768
0.518,0.781,-0.774
0.525,0.844,-0.79
0.538,0.897,-0.803
0.544,0.951,-0.796
0.542,1.013,-0.809
0.557,1.073,-0.81
0.574,1.133,-0.806
0.574,1.185,-0.807
0.583,1.236,-0.794
0.581,1.294,-0.784
0.591,1.341,-0.769
0.609,1.38,-0.749
0.615,1.413,-0.732
0.616,1.45,-0.706
0.621,1.481,-0.698
0.63,1.511,-0.662
0.635,1.525,-0.643
0.65,1.552,-0.626
0.649,1.569,-0.6
0.648,1.579,-0.562
0.654,1.57,-0.531
0.658,1.575,-0.515
0.666,1.582,-0.488
0.662,1.571,-0.45
0.666,1.561,-0.424
0.664,1.549,-0.399
0.662,1.52,-0.374
0.66,1.508,-0.338
0.665,1.471,-0.31
0.661,1.441,-0.273
0.659,1.406,-0.256
0.656,1.37,-0.226
0.652,1.341,-0.193
0.656,1.293,-0.173
0.644,1.246,-0.146
0.636,1.2,-0.122
0.628,1.143,-0.101
0.625,1.092,-0.079
0.614,1.036,-0.061
0.611,0.977,-0.042
0.602,0.923,-0.011
0.592,0.852,-0.002
0.588,0.796,0.018
0.577,0.738,0.034
0.567,0.676,0.031
0.556,0.614,0.042
0.543,0.554,0.035
0.539,0.487,0.049
0.522,0.433,0.045
0.514,0.373,0.049
0.505,0.323,0.041
0.493,0.266,0.047
0.481,0.22,0.032
0.473,0.174,0.036
0.458,0.129,0.015
0.466,0.088,0.009
0.446,0.041,-0.007
0.438,0.001,-0.015
0.433,-0.033,-0.048
0.42,-0.068,-0.068
0.41,-0.097,-0.083
0.404,-0.118,-0.103
0.398,-0.15,-0.133
0.391,-0.163,-0.16
0.387,-0.177,-0.182
0.383,-0.182,-0.207
0.372,-0.188,-0.225
0.372,-0.184,-0.251
0.368,-0.179,-0.296
0.36,-0.16,-0.325
0.365,-0.141,-0.356
0.367,-0.126,-0.392
0.363,-0.103,-0.411
0.367,-0.066,-0.441
0.357,-0.039,-0.481
0.365,0.006,-0.512
0.378,0.038,-0.539
0.378,0.08,-0.565
0.383,0.129,-0.594
0.388,0.18,-0.605
0.403,0.227,-0.629
0.407,0.28,-0.651
0.423,0.338,-0.671
0.44,0.393,-0.69
0.459,0.449,-0.696
0.464,0.507,-0.718
0.464,0.548,-0.728
0.486,0.586,-0.729
0.496,0.645,-0.745
0.506,0.7,-0.758
0.512,0.747,-0.759
0.523,0.795,-0.772
0.527,0.864,-0.803
0.536,0.911,-0.795
0.544,0.969,-0.801
0.56,1.03,-0.805
0.562,1.101,-0.793
0.573,1.155,-0.803
0.575,1.217,-0.799
0.589,1.268,-0.78
0.591,1.312,-0.775
0.6,1.353,-0.753
0.612,1.397,-0.746
0.621,1.436,-0.718
0.619,1.464,-0.708
0.634,1.494,-0.696
0.637,1.519,-0.657
0.647,1.544,-0.627
0.645,1.563,-0.609
0.658,1.568,-0.586
0.67,1.584,-0.554
0.658,1.583,-0.518
0.672,1.583,-0.5
0.671,1.572,-0.478
0.67,1.567,-0.442
0.669,1.557,-0.422
0.663,1.543,-0.386
0.668,1.515,-0.359
0.674,1.492,-0.326
0.673,1.468,-0.286
0.659,1.428,-0.267
0.663,1.402,-0.234
0.662,1.362,-0.216
0.655,1.328,-0.182
0.645,1.274,-0.154
0.64,1.219,-0.125
0.642,1.173,-0.113
0.632,1.118,-0.095
0.62,1.067,-0.066
0.614,1.01,-0.038
0.597,0.954,-0.023
0.602,0.883,-0.01
0.593,0.828,0.007
0.59,0.773,0.015
0.573,0.72,0.036
0.567,0.655,0.031
0.555,0.596,0.051
0.556,0.542,0.045
0.542,0.483,0.048
0.526,0.422,0.051
0.516,0.365,0.045
0.502,0.301,0.034
0.495,0.251,0.036
0.492,0.204,0.038
0.477,0.157,0.023
0.467,0.109,0.004
0.458,0.07,-0.011
0.445,0.02,-0.018
0.43,-0.018,-0.029
0.431,-0.043,-0.063
0.422,-0.083,-0.068
0.411,-0.108,-0.086
0.389,-0.13,-0.096
0.268,-0.094,-0.118
0.163,-0.027,-0.147
0.091,0.066,-0.182
0.04,0.149,-0.203
0.013,0.231,-0.226
-0.011,0.322,-0.249
-0.023,0.413,-0.282
-0.027,0.474,-0.291
-0.042,0.521,-0.302
-0.028,0.582,-0.315
-0.033,0.615,-0.32
-0.027,0.646,-0.333
-0.032,0.673,-0.334
-0.034,0.697,-0.329
-0.029,0.723,-0.347
-0.02,0.728,-0.355
-0.025,0.755,-0.352
-0.028,0.773,-0.357
-0.024,0.785,-0.364
-0.024,0.807,-0.377
-0.019,0.818,-0.39
-0.022,0.843,-0.397
-0.017,0.875,-0.409
-0.025,0.905,-0.413
-0.015,0.943,-0.429
-0.012,0.986,-0.414
-0.0,1.009,-0.41
0.001,1.03,-0.404
0.009,1.054,-0.382
0.02,1.061,-0.381
0.019,1.07,-0.347
0.018,1.071,-0.336
0.015,1.055,-0.311
0.014,1.054,-0.309
0.018,1.039,-0.307
0.015,1.035,-0.299
0.015,1.028,-0.289
0.006,1.018,-0.29
0.015,0.999,-0.278
0.014,0.993,-0.274
0.005,0.993,-0.284
0.006,0.986,-0.284
0.005,0.977,-0.284
0.003,0.968,-0.27
-0.005,0.968,-0.286
-0.002,0.965,-0.29
-0.004,0.957,-0.283
-0.009,0.954,-0.268
-0.008,0.951,-0.279
-0.01,0.955,-0.284
-0.009,0.949,-0.288
-0.009,0.94,-0.272
-0.014,0.933,-0.269
-0.012,0.939,-0.269
-0.011,0.94,-0.275
-0.014,0.925,-0.273
-0.009,0.931,-0.267
-0.013,0.919,-0.26
-0.009,0.917,-0.262
-0.011,0.914,-0.251
-0.007,0.904,-0.263
-0.013,0.899,-0.26
-0.014,0.892,-0.255
-0.009,0.886,-0.254
-0.013,0.881,-0.254
-0.014,0.873,-0.24
-0.009,0.863,-0.238
-0.009,0.859,-0.249
-0.01,0.847,-0.246
-0.017,0.842,-0.252
-0.01,0.837,-0.254
-0.022,0.829,-0.251
-0.018,0.83,-0.235
-0.014,0.828,-0.253
-0.012,0.816,-0.251
-0.019,0.818,-0.249
-0.018,0.811,-0.252
-0.016,0.806,-0.251
-0.019,0.801,-0.244
-0.026,0.794,-0.259
-0.023,0.803,-0.255
-0.019,0.797,-0.258
-0.027,0.786,-0.253
-0.026,0.78,-0.258
-0.023,0.787,-0.261
-0.022,0.777,-0.265
-0.034,0.78,-0.264
-0.021,0.775,-0.266
-0.027,0.78,-0.275
-0.027,0.779,-0.274
-0.032,0.812,-0.276
-0.031,0.778,-0.292
-0.028,0.777,-0.294
-0.026,0.778,-0.281
-0.024,0.776,-0.284
-0.025,0.775,-0.29
-0.022,0.78,-0.302
-0.028,0.783,-0.31
-0.03,0.794,-0.302
-0.034,0.783,-0.308
-0.031,0.795,-0.311
-0.03,0.796,-0.332
-0.032,0.811,-0.33
-0.035,0.81,-0.338
-0.025,0.826,-0.348
-0.031,0.841,-0.365
-0.025,0.86,-0.36
-0.025,0.87,-0.361
-0.02,0.891,-0.383
-0.019,0.921,-0.383
-0.014,0.946,-0.406
-0.015,0.98,-0.397
-0.001,0.999,-0.4
0.001,1.027,-0.378
0.006,1.045,-0.387
0.008,1.053,-0.378
0.014,1.061,-0.356
0.009,1.062,-0.336
0.019,1.053,-0.332
0.023,1.052,-0.318
0.022,1.042,-0.312
0.016,1.022,-0.296
0.013,1.022,-0.3
0.013,1.012,-0.285
0.013,1.007,-0.289
0.012,1.001,-0.277
0.008,0.989,-0.286
0.004,0.981,-0.276
0.001,0.98,-0.278
-0.005,0.975,-0.279
-0.006,0.97,-0.286
-0.003,0.963,-0.278
0.004,0.964,-0.28
-0.005,0.956,-0.288
-0.001,0.948,-0.285
-0.012,0.945,-0.278
-0.003,0.946,-0.274
-0.014,0.944,-0.279
-0.011,0.944,-0.277
-0.004,0.938,-0.267
-0.011,0.936,-0.276
-0.009,0.926,-0.262
-0.01,0.925,-0.259
-0.008,0.915,-0.263
-0.01,0.913,-0.264
-0.011,0.911,-0.265
-0.014,0.913,-0.261
-0.005,0.91,-0.261
-0.018,0.896,-0.254
-0.012,0.885,-0.256
-0.006,0.892,-0.254
-0.012,0.879,-0.266
-0.012,0.871,-0.265
-0.016,0.864,-0.254
-0.017,0.858,-0.249
-0.015,0.851,-0.257
-0.013,0.856,-0.247
-0.015,0.839,-0.251
-0.015,0.835,-0.259
-0.016,0.831,-0.253
-0.019,0.828,-0.25
-0.012,0.817,-0.261
-0.023,0.81,-0.246
-0.019,0.803,-0.257
-0.028,0.809,-0.255
-0.025,0.797,-0.261
-0.027,0.799,-0.257
-0.025,0.799,-0.26
-0.028,0.79,-0.266
-0.024,0.797,-0.269
-0.028,0.791,-0.265
-0.029,0.787,-0.266
-0.029,0.783,-0.276
-0.033,0.779,-0.262
-0.033,0.775,-0.272
-0.028,0.776,-0.293
-0.028,0.781,-0.281
-0.034,0.781,-0.275
-0.038,0.777,-0.292
-0.031,0.78,-0.292
-0.027,0.781,-0.295
-0.037,0.784,-0.29
-0.035,0.782,-0.3
-0.03,0.786,-0.302
-0.036,0.788,-0.303
-0.038,0.791,-0.314
-0.03,0.804,-0.315
-0.034,0.801,-0.32
-0.037,0.806,-0.326
-0.034,0.817,-0.34
-0.035,0.816,-0.339
-0.04,0.828,-0.355
-0.035,0.847,-0.364
-0.047,0.857,-0.367
-0.033,0.883,-0.375
-0.028,0.911,-0.395
-0.028,0.937,-0.407
-0.023,0.968,-0.407
-0.015,0.992,-0.395
-0.002,1.025,-0.398
-0.001,1.048,-0.382
0.006,1.061,-0.362
0.013,1.067,-0.355
0.015,1.068,-0.35
0.002,1.06,-0.333
0.016,1.056,-0.32
